time,open,high,low,close
1672700400,3885.75,3900.0,3875.75,3876.5
1672701300,3876.5,3877.25,3871.0,3871.25
1672702200,3871.25,3872.5,3869.5,3871.25
1672703100,3871.0,3872.0,3868.75,3871.5
1672704000,3871.25,3871.75,3863.0,3864.5
1672704900,3864.75,3866.75,3863.0,3863.5
1672705800,3863.75,3866.75,3863.5,3863.75
1672706700,3863.75,3865.0,3856.0,3856.75
1672707600,3856.75,3857.0,3846.5,3849.75
1672708500,3849.75,3851.75,3843.0,3843.75
1672709400,3843.75,3849.5,3843.0,3849.0
1672710300,3849.0,3854.25,3846.75,3853.25
1672711200,3853.25,3856.0,3850.75,3852.75
1672712100,3853.0,3857.25,3850.75,3856.25
1672713000,3856.25,3863.25,3855.0,3862.75
1672713900,3862.75,3863.5,3860.0,3861.5
1672714800,3861.25,3863.0,3859.75,3860.75
1672715700,3861.0,3862.75,3860.0,3862.25
1672716600,3862.25,3866.0,3861.0,3864.5
1672717500,3864.5,3867.75,3864.5,3866.5
1672718400,3866.75,3867.5,3863.25,3864.75
1672719300,3864.5,3866.25,3864.0,3866.0
1672720200,3866.0,3867.5,3865.5,3865.5
1672721100,3865.5,3866.25,3864.0,3864.0
1672722000,3864.0,3868.75,3863.75,3867.5
1672722900,3867.25,3868.75,3864.25,3864.5
1672723800,3864.5,3874.0,3864.5,3872.0
1672724700,3871.75,3873.5,3870.25,3871.75
1672725600,3871.5,3871.75,3868.75,3871.0
1672726500,3871.0,3874.0,3870.5,3873.0
1672727400,3873.0,3874.25,3867.25,3867.5
1672728300,3867.5,3870.5,3866.25,3870.5
1672729200,3870.25,3873.0,3865.75,3867.75
1672730100,3868.0,3871.75,3867.0,3871.5
1672731000,3871.5,3877.5,3871.25,3876.25
1672731900,3876.0,3882.0,3875.0,3881.25
1672732800,3881.5,3888.5,3877.25,3877.75
1672733700,3877.75,3887.5,3877.75,3887.0
1672734600,3887.0,3896.5,3885.25,3893.25
1672735500,3893.25,3897.0,3893.0,3895.0
1672736400,3895.25,3902.75,3894.5,3902.25
1672737300,3902.5,3905.75,3899.75,3902.5
1672738200,3902.5,3905.0,3901.25,3903.0
1672739100,3903.0,3906.25,3903.0,3906.25
1672740000,3906.25,3907.25,3898.5,3899.0
1672740900,3899.0,3900.25,3893.5,3895.0
1672741800,3895.0,3898.25,3893.0,3897.75
1672742700,3897.5,3900.25,3896.75,3897.25
1672743600,3897.25,3898.5,3891.0,3891.5
1672744500,3891.75,3893.75,3890.5,3893.0
1672745400,3893.0,3894.25,3875.5,3877.0
1672746300,3876.75,3879.75,3872.25,3877.0
1672747200,3877.0,3877.5,3870.25,3873.75
1672748100,3874.0,3878.75,3872.5,3875.75
1672749000,3875.5,3882.0,3875.25,3880.75
1672749900,3880.5,3880.75,3875.5,3880.0
1672750800,3880.0,3885.5,3871.0,3876.0
1672751700,3876.0,3883.75,3875.5,3878.0
1672752600,3878.0,3883.75,3876.25,3881.5
1672753500,3881.5,3886.75,3881.5,3884.0
1672754400,3884.0,3889.5,3880.75,3889.0
1672755300,3889.0,3890.5,3880.5,3881.0
1672756200,3881.0,3901.5,3872.5,3889.75
1672757100,3889.75,3892.0,3853.25,3853.75
1672758000,3854.0,3862.5,3846.0,3848.5
